organ,organ_id,ftu_label,ftu_id,ftu_part_svg_ct_label,ftu_part_label,ftu_part_id,ftu_part_svg_label,as_count,ct_count
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,periacinar fibroblast,periacinar fibroblast,,Periacinar_Fibroblast,0,21
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,pericyte,pericyte,CL:0000669,Pericyte,0,3
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,periductal fibroblast,periductal fibroblast,,Periductal_Fibroblast,0,35
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,serous acinar cell,serous acinar cell,,Serous_Acinar_Cell,0,36
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,smooth muscle cell,smooth muscle cell,CL:0000192,Smooth_Muscle_ Cell,0,6
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,striated duct epithelial cell,striated duct epithelial cell,CL:4052049,Straited_Ductal_Epithelial_Cell,0,27
Mouth,UBERON:0000165,Parotid Gland,UBERON:0001831,tuft cell,tuft cell,,Tuft_Cell,0,1
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,demilune acinar cell,demilune acinar cell,,Demilune_Acinar_Cell,0,12
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,dendritic cell,dendritic cell,CL:0000451,Dendritic_Cell,0,1
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,endothelial cell,endothelial cell,CL:0000115,Endothelial_Cell,0,3
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,helper T,helper T,,Helper_T_Cell,0,4
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,IgA secreting plasma cell,IgA secreting plasma cell,CL:0000987,IgA_Secreting_Plasma_Cell,0,13
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,intercalated duct epithelial cell,intercalated duct epithelial cell,CL:4052048,Intercalated_Duct_Epithelial_Cell,0,102
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,ionocyte,ionocyte,,Ionocyte,0,3
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,macrophage,macrophage,CL:0000235,Macrophage,0,1
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,mast cell,mast cell,CL:0000097,Mast_Cell,0,1
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,mucous acinar cell,mucous acinar cell,,Mucous_Acinar_Cell,0,32
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,myoepithelial cell,myoepithelial cell,,Myoepithelial_cell,0,44
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,periacinar fibroblast,periacinar fibroblast,,Periacinar_Fibroblast,0,21
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,pericyte,pericyte,CL:0000669,Pericyte,0,3
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,periductal fibroblast,periductal fibroblast,,Periductal_Fibroblast,0,35
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,seromucosal acinar cell,seromucosal acinar cell,,Seromucosal_Acinar_Cell,0,5
Mouth,UBERON:0000165,sublingual gland,UBERON:0001832,smooth muscle cell,smooth muscle cell,CL:0000192,Smooth_Muscle_ Cell,0,6
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,basal ductal cell,basal ductal cell,,Basal_Ductal_Cell,0,5
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,demilune acinar cell,demilune acinar cell,,Demilune_Acinar_Cell,0,12
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,dendritic cell,dendritic cell,CL:0000451,Dendritic_Cell,0,1
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,endothelial cell,endothelial cell,CL:0000115,Endothelial_Cell,0,3
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,excretory duct epithelial cell,excretory duct epithelial cell,,Excretor_Ductal_Epithelial_Cell,0,8
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,helper T,helper T,,Helper_T_Cell,0,4
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,IgA secreting plasma cell,IgA secreting plasma cell,CL:0000987,IgA_Secreting_Plasma_Cell,0,13
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,intercalated duct epithelial cell,intercalated duct epithelial cell,CL:4052048,Intercalated_Duct_Epithelial_Cell,0,59
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,ionocyte,ionocyte,,Ionocyte,0,3
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,macrophage,macrophage,CL:0000235,Macrophage,0,1
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,mast cell,mast cell,CL:0000097,Mast_Cell,0,1
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,mucous acinar cell,mucous acinar cell,,mucous acinar cell,0,32
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,myoepithelial cell,myoepithelial cell,,Myoepithelial_cell,0,44
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,periacinar fibroblast,periacinar fibroblast,,Periacinar_Fibroblast,0,21
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,pericyte,pericyte,CL:0000669,Pericyte,0,3
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,periductal fibroblast,periductal fibroblast,,Periductal_Fibroblast,0,35
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,seromucosal acinar cell,seromucosal acinar cell,,seromucosal acinar cell,0,5
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,smooth muscle cell,smooth muscle cell,CL:0000192,Smooth_Muscle_ Cell,0,6
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,striated duct epithelial cell,striated duct epithelial cell,CL:4052049,Straited_Ductal_Epithelial_Cell,0,27
Mouth,UBERON:0000165,submandibular gland,UBERON:0001736,tuft cell,tuft cell,,Tuft_Cell,0,1
